target,r_p_R_saturn,r_p_km,r_a_km,v_p_hyperbolic_kms,v_p_ellipse_kms,soi_dv_kms,orbit_period_days,ring_zone_at_periapsis,tau_at_periapsis
r_a = r_titan,2.129652446918532,128349.89367088609,1208547.0,24.912908966352443,23.115239187415906,1.7976697789365375,6.453118918813459,A-ring,0.6
r_a = 3 r_titan,2.129652446918532,128349.89367088609,3625641.0,24.912908966352443,23.892487571507342,1.0204213948451013,30.364254252977446,A-ring,0.6
r_a = 6 r_titan,2.129652446918532,128349.89367088609,7251282.0,24.912908966352443,24.09936638857255,0.8135425777798915,83.69024627298492,A-ring,0.6
r_a = r_titan,2.16926710482209,130737.38987341773,1208547.0,24.69532833305837,22.88278061404736,1.812547719011011,6.470413079822439,A-ring,0.6
r_a = 3 r_titan,2.16926710482209,130737.38987341773,3625641.0,24.69532833305837,23.66579842006121,1.029529912997159,30.39322584706886,A-ring,0.6
r_a = 6 r_titan,2.16926710482209,130737.38987341773,7251282.0,24.69532833305837,23.87444226356143,0.8208860694969395,83.73086340160462,A-ring,0.6
r_a = r_titan,2.208881762725648,133124.88607594935,1208547.0,24.483721267475808,22.656473950402,1.8272473170738088,6.487722662562376,A-ring,0.6
r_a = 3 r_titan,2.208881762725648,133124.88607594935,3625641.0,24.483721267475808,23.445174521863557,1.0385467456122512,30.422206649573152,A-ring,0.6
r_a = 6 r_titan,2.208881762725648,133124.88607594935,7251282.0,24.483721267475808,23.655563439195543,0.8281578282802649,83.77148709896095,A-ring,0.6
r_a = r_titan,2.248496420629207,135512.38227848103,1208547.0,24.27782253201571,22.43604936628696,1.8417731657287497,6.505047653305717,A-ring,0.6
r_a = 3 r_titan,2.248496420629207,135512.38227848103,3625641.0,24.27782253201571,23.230348248429696,1.0474742835860127,30.451196657565372,A-ring,0.6
r_a = 6 r_titan,2.248496420629207,135512.38227848103,7251282.0,24.27782253201571,23.442462794561184,0.8353597374545245,83.81211736399199,A-ring,0.6
r_a = r_titan,2.2881110785327645,137899.87848101265,1208547.0,24.077383056366237,22.221253394596005,1.8561296617702325,6.5223880383615,Outside E-ring,0.0
r_a = 3 r_titan,2.2881110785327645,137899.87848101265,3625641.0,24.077383056366237,23.021068242495538,1.0563148138706993,30.480195868123314,Outside E-ring,0.0
r_a = 6 r_titan,2.2881110785327645,137899.87848101265,7251282.0,24.077383056366237,23.2348894581313,0.8424935982349382,83.85275419563624,Outside E-ring,0.0
r_a = r_titan,2.327725736436323,140287.37468354433,1208547.0,23.882168692951137,22.011847675107287,1.8703210178438496,6.53974380407519,F-ring,0.1
r_a = 3 r_titan,2.327725736436323,140287.37468354433,3625641.0,23.882168692951137,22.817098167225474,1.0650705257256625,30.50920427832758,F-ring,0.1
r_a = 6 r_titan,2.327725736436323,140287.37468354433,7251282.0,23.882168692951137,23.032607558280752,0.8495611346703846,83.89339759283277,F-ring,0.1
r_a = r_titan,2.367340394339881,142674.87088607595,1208547.0,23.69195908748058,21.80760781425692,1.8843512732236611,6.557114936828536,F-G gap,1e-05
r_a = 3 r_titan,2.367340394339881,142674.87088607595,3625641.0,23.69195908748058,22.618215570988657,1.0737435164919233,30.53822188526155,F-G gap,1e-05
r_a = 6 r_titan,2.367340394339881,142674.87088607595,7251282.0,23.69195908748058,22.835395089270694,0.8565639982098858,83.93404755452116,F-G gap,1e-05
r_a = r_titan,2.4069550522434393,145062.3670886076,1208547.0,23.506546652225506,21.608322348438737,1.898224303786769,6.574501423039378,F-G gap,1e-05
r_a = 3 r_titan,2.4069550522434393,145062.3670886076,3625641.0,23.506546652225506,22.424210855291015,1.0823357969344904,30.567248686011375,F-G gap,1e-05
r_a = 6 r_titan,2.4069550522434393,145062.3670886076,7251282.0,23.506546652225506,22.643042880298385,0.863503771927121,83.9747040796415,F-G gap,1e-05
r_a = r_titan,2.4465697101469974,147449.86329113925,1208547.0,23.32573563115527,21.41379179989803,1.9119438312572399,6.591903249161524,F-G gap,1e-05
r_a = 3 r_titan,2.4465697101469974,147449.86329113925,3625641.0,23.32573563115527,22.234886334963978,1.0908492961912906,30.59628467766596,F-G gap,1e-05
r_a = 6 r_titan,2.4465697101469974,147449.86329113925,7251282.0,23.32573563115527,22.45535365672165,0.8703819744336201,84.01536716713434,F-G gap,1e-05
r_a = r_titan,2.486184368050556,149837.3594936709,1208547.0,23.14934124738184,21.223827815597865,1.9255134317839762,6.609320401684559,F-G gap,1e-05
r_a = 3 r_titan,2.486184368050556,149837.3594936709,3625641.0,23.14934124738184,22.0500553810182,1.0992858663636405,30.62532985731699,F-G gap,1e-05
r_a = 6 r_titan,2.486184368050556,149837.3594936709,7251282.0,23.14934124738184,22.27214118387348,0.8772000635083614,84.05603681594084,F-G gap,1e-05
r_a = r_titan,2.525799025954114,152224.85569620255,1208547.0,22.9771889244829,21.03825238057252,1.9389365439103798,6.62675286713371,F-G gap,1e-05
r_a = 3 r_titan,2.525799025954114,152224.85569620255,3625641.0,22.9771889244829,21.869541637703446,1.1076472867794536,30.654384222058898,F-G gap,1e-05
r_a = 6 r_titan,2.525799025954114,152224.85569620255,7251282.0,22.9771889244829,22.09322948501444,0.8839594394684589,84.09671302500259,F-G gap,1e-05
r_a = r_titan,2.5654136838576718,154612.35189873417,1208547.0,22.809113574256187,20.85689709826832,1.9522164759878677,6.644200632069684,F-G gap,1e-05
r_a = 3 r_titan,2.5654136838576718,154612.35189873417,3625641.0,22.809113574256187,21.69317830629891,1.1159352679572763,30.683447768988877,F-G gap,1e-05
r_a = 6 r_titan,2.5654136838576718,154612.35189873417,7251282.0,22.809113574256187,21.91845212595306,0.8906614483031277,84.13739579326173,F-G gap,1e-05
r_a = r_titan,2.6050283417612308,156999.84810126584,1208547.0,22.64495894431071,20.679602531230568,1.9653564130801406,6.661663683088506,F-G gap,1e-05
r_a = 3 r_titan,2.6050283417612308,156999.84810126584,3625641.0,22.64495894431071,21.520807489014164,1.1241514552965448,30.712520495206867,F-G gap,1e-05
r_a = 6 r_titan,2.6050283417612308,156999.84810126584,7251282.0,22.64495894431071,21.747651559719642,0.8973073845910662,84.17808511966092,F-G gap,1e-05
r_a = r_titan,2.6446429996647884,159387.34430379746,1208547.0,22.484577019643964,20.50621759624363,1.9783594234003345,6.67914200682137,F-G gap,1e-05
r_a = 3 r_titan,2.6446429996647884,159387.34430379746,3625641.0,22.484577019643964,21.352279587127335,1.13229743251663,30.74160239781557,F-G gap,1e-05
r_a = 6 r_titan,2.6446429996647884,159387.34430379746,7251282.0,22.484577019643964,21.580678525424826,0.9038984942191384,84.21878100314332,F-G gap,1e-05
r_a = r_titan,2.684257657568347,161774.84050632914,1208547.0,22.327827473004895,20.336599008685567,1.9912284643193274,6.696635589934489,F-G gap,1e-05
r_a = 3 r_titan,2.684257657568347,161774.84050632914,3625641.0,22.327827473004895,21.187452748139368,1.1403747248655272,30.7706934739204,F-G gap,1e-05
r_a = 6 r_titan,2.684257657568347,161774.84050632914,7251282.0,22.327827473004895,21.41739149608612,0.9104359769187766,84.25948344265255,F-G gap,1e-05
r_a = r_titan,2.7238723154719047,164162.33670886076,1208547.0,22.174577159411637,20.17061077143195,2.0039663879796876,6.714144419128931,F-G gap,1e-05
r_a = 3 r_titan,2.7238723154719047,164162.33670886076,3625641.0,22.174577159411637,21.026192357295052,1.1483848021165848,30.79979372062953,F-G gap,1e-05
r_a = 6 r_titan,2.7238723154719047,164162.33670886076,7251282.0,22.174577159411637,21.257656170776887,0.9169209886347502,84.30019243713284,F-G gap,1e-05
