savings_kms,tps_areal_density_kg_m2,coverage_frac,dv_inbound_kms,m_dry_base_eff_t,m_shield_t,m_dry_total_t,m_post_exit_t,m_at_earth_t,m_delivered_t,delivered_fraction
2.5,50,0.5,22.2,180.0,4.134701201406796,184.13470120140678,344.87937022583515,219.30001104913546,35.16530984772868,0.17582654923864338
2.5,50,1.0,22.2,180.0,8.269402402813592,188.2694024028136,348.5915397901921,221.6604851649014,33.39108276208779,0.16695541381043896
2.5,80,0.3,22.2,180.0,3.969313153350524,183.96931315335053,344.73088344326095,219.20559208450487,35.236278931154345,0.17618139465577173
2.5,80,0.5,22.2,180.0,6.615521922250873,186.61552192225088,347.10667196444933,220.71629551859505,34.10077359634417,0.17050386798172085
2.5,80,1.0,22.2,180.0,13.231043844501746,193.23104384450176,353.0461432674203,224.49305410382044,31.262010259318686,0.15631005129659342
2.5,120,0.3,22.2,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,220.33861966007248,34.38464993004669,0.17192324965023345
2.5,120,0.5,22.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,222.60467481120776,32.68139192783144,0.16340695963915722
2.5,120,1.0,22.2,180.0,19.84656576675262,199.84656576675263,358.9856145703913,228.2698126890459,28.42324692229326,0.1421162346114663
2.5,200,0.3,22.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,222.60467481120776,32.68139192783144,0.16340695963915722
2.5,200,0.5,22.2,180.0,16.538804805627183,196.5388048056272,356.0158789189058,226.38143339643315,29.84262859080596,0.1492131429540298
2.5,200,1.0,22.2,180.0,33.07760961125437,213.07760961125436,370.8645571763333,235.82332985949674,22.745720248242378,0.1137286012412119
3.0,0,0.3,21.7,180.0,0.0,180.0,341.1672006614783,219.16302191540996,39.163021915409956,0.19581510957704978
3.0,0,0.5,21.7,180.0,0.0,180.0,341.1672006614783,219.16302191540996,39.163021915409956,0.19581510957704978
3.0,0,1.0,21.7,180.0,0.0,180.0,341.1672006614783,219.16302191540996,39.163021915409956,0.19581510957704978
3.0,30,0.3,21.7,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,220.02150217753186,38.533009745025424,0.19266504872512713
3.0,30,0.5,21.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,220.59382235227986,38.11300163143579,0.19056500815717897
3.0,30,1.0,21.7,180.0,4.961641441688155,184.96164144168816,345.6218041387066,222.02462278914973,37.06298134746157,0.18531490673730786
3.0,50,0.3,21.7,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,220.59382235227986,38.11300163143579,0.19056500815717897
3.0,50,0.5,21.7,180.0,4.134701201406796,184.13470120140678,344.87937022583515,221.54768931019308,37.412988108786294,0.18706494054393147
3.0,50,1.0,21.7,180.0,8.269402402813592,188.2694024028136,348.5915397901921,223.93235670497626,35.66295430216266,0.1783147715108133
3.0,80,0.3,21.7,180.0,3.969313153350524,183.96931315335053,344.73088344326095,221.4523026144018,37.48298946105126,0.18741494730525632
3.0,80,0.5,21.7,180.0,6.615521922250873,186.61552192225088,347.10667196444933,222.97848974706298,36.3629678248121,0.18181483912406052
3.0,80,1.0,21.7,180.0,13.231043844501746,193.23104384450176,353.0461432674203,226.79395757871598,33.56291373421422,0.1678145686710711
3.0,120,0.3,21.7,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,222.59694296389767,36.642973233871885,0.18321486616935942
